gene,Arab_Muslim,Ashkenazi,Jewish_Other,Middle_Eastern_Jewish,North_African_Jewish
A2ML1,0.44924888347543646,1.5695035460992908,2.0154826958105643,0.9197838736492103,1.0912228796844181
AADAC,0.44924888347543646,0.7847517730496454,2.0154826958105643,1.8395677472984207,1.0912228796844181
AARS,0.44924888347543646,0.7847517730496454,2.0154826958105643,0.9197838736492103,2.1824457593688362
AARS2,1.1552114146511223,0.672644376899696,1.7275565964090551,0.7883861774136088,0.9353338968723585
ABCA13,0.44924888347543646,1.5695035460992908,2.0154826958105643,0.9197838736492103,1.0912228796844181
ABCA4,1.0291883512346363,1.1129206963249516,1.0993541977148533,1.1037406483790524,0.5952124798278645
ABCB4,0.44924888347543646,0.7847517730496454,2.0154826958105643,1.8395677472984207,1.0912228796844181
ABCC6,0.6738733252131547,1.1771276595744682,1.5116120218579234,1.0347568578553616,1.2276257396449706
ABCC8,0.33693666260657734,1.1771276595744682,1.5116120218579234,0.6898379052369078,2.455251479289941
ABCC9,0.44924888347543646,0.7847517730496454,4.0309653916211285,0.9197838736492103,1.0912228796844181
ABHD12,0.44924888347543646,0.7847517730496454,4.0309653916211285,0.9197838736492103,1.0912228796844181
ABL2,0.44924888347543646,1.5695035460992908,2.0154826958105643,0.9197838736492103,1.0912228796844181
ACACB,0.8984977669508729,0.7847517730496454,2.0154826958105643,0.9197838736492103,1.0912228796844181
ACO2,0.44924888347543646,1.5695035460992908,2.0154826958105643,0.9197838736492103,1.0912228796844181
ADAM9,0.3850704715503741,0.672644376899696,3.4551131928181102,0.7883861774136088,1.870667793744717
ADAMTS18,0.8984977669508729,0.7847517730496454,2.0154826958105643,0.9197838736492103,1.0912228796844181
ADGRE2,0.8984977669508729,0.7847517730496454,2.0154826958105643,0.9197838736492103,1.0912228796844181
ADGRG4,0.8984977669508729,0.7847517730496454,2.0154826958105643,0.9197838736492103,1.0912228796844181
ADGRV1,0.24504484553205624,1.2841392649903287,2.1987083954297066,2.0068011788710045,0.5952124798278645
ADRA2B,0.44924888347543646,0.7847517730496454,2.0154826958105643,0.9197838736492103,2.1824457593688362
AEBP1,0.8984977669508729,0.7847517730496454,2.0154826958105643,0.9197838736492103,1.0912228796844181
AGA,0.44924888347543646,0.7847517730496454,2.0154826958105643,1.8395677472984207,1.0912228796844181
AGAP3,0.44924888347543646,1.5695035460992908,2.0154826958105643,0.9197838736492103,1.0912228796844181
AGBL5,1.3477466504263094,0.5885638297872341,1.5116120218579234,0.6898379052369078,0.8184171597633136
AGO1,0.44924888347543646,0.7847517730496454,4.0309653916211285,0.9197838736492103,1.0912228796844181
AHI1,0.3850704715503741,0.672644376899696,3.4551131928181102,0.7883861774136088,1.870667793744717
AHNAK,1.1552114146511223,0.672644376899696,1.7275565964090551,0.7883861774136088,0.9353338968723585
AIPL1,1.6172959805115712,0.6278014184397163,0.8061930783242258,0.36791354945968413,0.8729783037475346
AKAP9,0.44924888347543646,0.7847517730496454,2.0154826958105643,1.8395677472984207,1.0912228796844181
ALDH18A1,0.44924888347543646,0.7847517730496454,2.0154826958105643,0.9197838736492103,2.1824457593688362
