gene,Arab_Muslim,Ashkenazi,Jewish_Other,Middle_Eastern_Jewish,North_African_Jewish
ABCA4,0.4275362318840579,1.5945945945945945,1.5526315789473686,0.5619047619047619,1.3111111111111111
ABCC6,0.6413043478260869,1.5945945945945945,0.7763157894736843,0.8428571428571429,1.3111111111111111
ACO2,0.8550724637681159,2.126126126126126,1.0350877192982457,0.5619047619047619,0.8740740740740741
ADAM9,0.8550724637681159,1.063063063063063,2.0701754385964914,0.5619047619047619,0.8740740740740741
AGAP3,0.8550724637681159,2.126126126126126,1.0350877192982457,0.5619047619047619,0.8740740740740741
ALDH3B1,0.8550724637681159,1.063063063063063,2.0701754385964914,0.5619047619047619,0.8740740740740741
ALMS1,1.7101449275362317,1.063063063063063,1.0350877192982457,0.5619047619047619,0.8740740740740741
ALPK1,0.732919254658385,0.9111969111969112,0.887218045112782,0.4816326530612245,2.2476190476190476
ATF6,0.8550724637681159,1.063063063063063,1.0350877192982457,1.1238095238095238,0.8740740740740741
ATP11A,0.8550724637681159,1.063063063063063,2.0701754385964914,0.5619047619047619,0.8740740740740741
ATP1A2,0.8550724637681159,1.063063063063063,2.0701754385964914,0.5619047619047619,0.8740740740740741
ATXN2,0.6413043478260869,0.7972972972972973,0.7763157894736843,0.42142857142857143,2.6222222222222222
ATXN7,0.8550724637681159,2.126126126126126,1.0350877192982457,0.5619047619047619,0.8740740740740741
BHLHE40,0.8550724637681159,1.063063063063063,1.0350877192982457,1.1238095238095238,0.8740740740740741
BPTF,0.8550724637681159,1.063063063063063,1.0350877192982457,1.1238095238095238,0.8740740740740741
BRCA1,0.8550724637681159,2.126126126126126,1.0350877192982457,0.5619047619047619,0.8740740740740741
BTD,1.7101449275362317,1.063063063063063,1.0350877192982457,0.5619047619047619,0.8740740740740741
C3,1.7101449275362317,1.063063063063063,1.0350877192982457,0.5619047619047619,0.8740740740740741
CA4,1.7101449275362317,1.063063063063063,1.0350877192982457,0.5619047619047619,0.8740740740740741
CAPN3,0.8550724637681159,1.063063063063063,2.0701754385964914,0.5619047619047619,0.8740740740740741
CCT4,0.8550724637681159,2.126126126126126,1.0350877192982457,0.5619047619047619,0.8740740740740741
CDON,0.8550724637681159,1.063063063063063,1.0350877192982457,1.1238095238095238,0.8740740740740741
CEP250,0.8550724637681159,1.063063063063063,2.0701754385964914,0.5619047619047619,0.8740740740740741
CEP290,1.7101449275362317,1.063063063063063,1.0350877192982457,0.5619047619047619,0.8740740740740741
CEP41,0.732919254658385,0.9111969111969112,0.887218045112782,0.4816326530612245,2.2476190476190476
CFTR,0.732919254658385,0.9111969111969112,1.774436090225564,0.963265306122449,0.7492063492063492
CHD3,0.8550724637681159,2.126126126126126,1.0350877192982457,0.5619047619047619,0.8740740740740741
CHRNA4,0.8550724637681159,2.126126126126126,1.0350877192982457,0.5619047619047619,0.8740740740740741
CNGA1,0.732919254658385,0.9111969111969112,1.774436090225564,0.4816326530612245,1.4984126984126984
CNGB3,0.732919254658385,0.9111969111969112,1.774436090225564,0.963265306122449,0.7492063492063492
CNOT2,0.8550724637681159,2.126126126126126,1.0350877192982457,0.5619047619047619,0.8740740740740741
CNTN6,0.8550724637681159,1.063063063063063,1.0350877192982457,1.1238095238095238,0.8740740740740741
COL11A1,1.7101449275362317,1.4174174174174174,0.6900584795321637,0.7492063492063492,0.582716049382716
COL18A1,1.9239130434782608,1.5945945945945945,0.7763157894736843,0.42142857142857143,0.6555555555555556
COL2A1,1.7101449275362317,1.063063063063063,1.0350877192982457,0.5619047619047619,0.8740740740740741
COL4A2,1.7101449275362317,1.063063063063063,1.0350877192982457,0.5619047619047619,0.8740740740740741
COL4A3,0.6413043478260869,0.7972972972972973,1.5526315789473686,0.42142857142857143,1.9666666666666668
COL4A4,0.8550724637681159,1.063063063063063,1.0350877192982457,1.1238095238095238,0.8740740740740741
COL5A3,0.8550724637681159,1.063063063063063,1.0350877192982457,1.1238095238095238,0.8740740740740741
CRB1,0.8550724637681159,1.063063063063063,1.0350877192982457,1.1238095238095238,0.8740740740740741
CRX,1.7101449275362317,1.063063063063063,1.0350877192982457,0.5619047619047619,0.8740740740740741
CTNNA1,0.8550724637681159,1.063063063063063,1.0350877192982457,0.5619047619047619,1.7481481481481482
CYP21A2,0.8550724637681159,1.063063063063063,1.0350877192982457,0.5619047619047619,1.7481481481481482
DDX41,0.8550724637681159,2.126126126126126,1.0350877192982457,0.5619047619047619,0.8740740740740741
DDX58,1.7101449275362317,1.063063063063063,1.0350877192982457,0.5619047619047619,0.8740740740740741
DSC2,0.8550724637681159,1.063063063063063,2.0701754385964914,0.5619047619047619,0.8740740740740741
EP300,0.8550724637681159,1.063063063063063,2.0701754385964914,0.5619047619047619,0.8740740740740741
EYS,1.9239130434782608,0.7972972972972973,0.7763157894736843,0.42142857142857143,1.3111111111111111
F2,0.732919254658385,1.8223938223938223,0.887218045112782,0.963265306122449,0.7492063492063492
F8,1.7101449275362317,1.063063063063063,1.0350877192982457,0.5619047619047619,0.8740740740740741
FAM161A,0.5700483091787439,0.7087087087087087,0.6900584795321637,0.3746031746031746,2.9135802469135803
FBLN1,0.8550724637681159,1.063063063063063,1.0350877192982457,1.1238095238095238,0.8740740740740741
FBN1,0.8550724637681159,1.063063063063063,1.0350877192982457,1.1238095238095238,0.8740740740740741
FLVCR1,0.8550724637681159,1.063063063063063,1.0350877192982457,0.5619047619047619,1.7481481481481482
FSIP2,1.7101449275362317,1.063063063063063,1.0350877192982457,0.5619047619047619,0.8740740740740741
FTX,0.8550724637681159,1.063063063063063,1.0350877192982457,1.1238095238095238,0.8740740740740741
G6PD,0.732919254658385,0.9111969111969112,1.774436090225564,0.963265306122449,0.7492063492063492
GATA5,0.8550724637681159,2.126126126126126,1.0350877192982457,0.5619047619047619,0.8740740740740741
GBA,0.8550724637681159,2.126126126126126,1.0350877192982457,0.5619047619047619,0.8740740740740741
GDF1,0.8550724637681159,2.126126126126126,1.0350877192982457,0.5619047619047619,0.8740740740740741
GJB2,0.8550724637681159,1.063063063063063,1.0350877192982457,1.1238095238095238,0.8740740740740741
GJC2,0.8550724637681159,1.063063063063063,1.0350877192982457,1.1238095238095238,0.8740740740740741
GNAT2,1.7101449275362317,1.063063063063063,1.0350877192982457,0.5619047619047619,0.8740740740740741
