gene,module_id,module_qc_label,stability_score,classification
PRPF3,0,LARGE_MODULE_0,0.896774193548387,core
PRPF31,0,LARGE_MODULE_0,0.896774193548387,core
PRPF8,0,LARGE_MODULE_0,0.896774193548387,core
PRPH2,0,LARGE_MODULE_0,0.896774193548387,core
PRPS1,1,LARGE_MODULE_1,0.9527272727272728,core
PTCD3,13,MODULE_13,0.9171428571428573,core
PTPN23,15,MODULE_15,0.924,core
PUF60,4,MODULE_4,0.41759999999999997,peripheral
PYGM,7,MODULE_7,0.6900000000000001,peripheral
RAB28,0,LARGE_MODULE_0,0.896774193548387,core
RAB3GAP1,8,MODULE_8,0.5721739130434783,peripheral
RAX2,0,LARGE_MODULE_0,0.896774193548387,core
RBP3,0,LARGE_MODULE_0,0.7696774193548389,core
RBP4,0,LARGE_MODULE_0,0.896774193548387,core
RCBTB1,3,MODULE_3,0.49000000000000005,peripheral
RD3,12,MODULE_12,0.8906666666666666,core
RDH12,12,MODULE_12,0.8906666666666666,core
RDH5,6,MODULE_6,0.9583333333333334,core
REEP6,0,LARGE_MODULE_0,0.0,unstable
RERE,3,MODULE_3,0.7657142857142857,core
RGS9,14,MODULE_14,0.08333333333333333,unstable
RGS9BP,14,MODULE_14,0.08333333333333333,unstable
RHO,6,MODULE_6,0.9583333333333334,core
RIMS2,6,MODULE_6,0.9583333333333334,core
RLBP1,6,MODULE_6,0.9583333333333334,core
RNF170,1,LARGE_MODULE_1,0.9527272727272728,core
RNU4ATAC,2,MODULE_2,0.8458823529411765,core
RP1,6,MODULE_6,0.9583333333333334,core
RP1L1,0,LARGE_MODULE_0,0.896774193548387,core
RP2,0,LARGE_MODULE_0,0.896774193548387,core
RPE65,12,MODULE_12,0.8906666666666666,core
RPGR,15,MODULE_15,0.24000000000000005,unstable
RPGRIP1,11,MODULE_11,0.9600000000000002,core
RS1,0,LARGE_MODULE_0,0.896774193548387,core
RTN4IP1,0,LARGE_MODULE_0,0.896774193548387,core
SACS,1,LARGE_MODULE_1,0.9527272727272728,core
SAG,6,MODULE_6,0.9583333333333334,core
SAMD7,0,LARGE_MODULE_0,0.896774193548387,core
SCAPER,9,MODULE_9,1.0,core
SCLT1,9,MODULE_9,1.0,core
SDCCAG8,9,MODULE_9,1.0,core
SDHA,10,MODULE_10,1.0,core
SDHB,3,MODULE_3,0.27,unstable
SERAC1,7,MODULE_7,0.6900000000000001,peripheral
SGSH,4,MODULE_4,0.1008,unstable
SIX6,3,MODULE_3,0.022857142857142857,unstable
SLC19A2,7,MODULE_7,0.49666666666666676,peripheral
SLC19A3,1,LARGE_MODULE_1,0.9527272727272728,core
SLC24A1,6,MODULE_6,0.9583333333333334,core
SLC24A5,5,MODULE_5,0.9168000000000001,core
SLC25A46,1,LARGE_MODULE_1,0.9527272727272728,core
SLC38A3,7,MODULE_7,0.33,unstable
SLC38A8,0,LARGE_MODULE_0,0.896774193548387,core
SLC44A1,1,LARGE_MODULE_1,0.9527272727272728,core
SLC45A2,5,MODULE_5,0.9488000000000001,core
SLC52A2,1,LARGE_MODULE_1,0.9527272727272728,core
SLC6A6,0,LARGE_MODULE_0,0.896774193548387,core
SNF8,1,LARGE_MODULE_1,0.0,unstable
SNRNP200,0,LARGE_MODULE_0,0.896774193548387,core
SNX10,2,MODULE_2,0.7752941176470588,core
SOX2,3,MODULE_3,0.5757142857142857,peripheral
SPATA7,12,MODULE_12,0.8906666666666666,core
