module_id,module_size,hpo_term,a_in_module_with_term,b_in_module_without_term,c_bg_with_term,d_bg_without_term,p_value,odds_ratio,freq_in_module,freq_in_bg,specificity_ratio,q_value,fdr_significant
9,24,HP:0000855,24,0,6,412,2.2507102114190377e-34,inf,1.0,0.014354066985645933,69.66666666666667,9.137883458361293e-32,True
11,21,HP:0002419,20,1,3,418,1.716571723745608e-30,2786.6666666666665,0.9523809523809523,0.007125890736342043,133.65079365079364,3.4846405992035845e-28,True
5,26,HP:0007513,20,6,0,416,1.0698832624935699e-29,inf,0.7692307692307693,0.0,769230.7692307694,1.4479086819079646e-27,True
9,24,HP:0003074,22,2,7,411,5.040785119322956e-29,645.8571428571429,0.9166666666666666,0.01674641148325359,54.738095238095234,3.8981631400529284e-27,True
9,24,HP:0003233,21,3,4,414,5.760832226679205e-29,724.5,0.875,0.009569377990430622,91.4375,3.8981631400529284e-27,True
9,24,HP:0031888,21,3,4,414,5.760832226679205e-29,724.5,0.875,0.009569377990430622,91.4375,3.8981631400529284e-27,True
11,21,HP:0002418,20,1,6,415,2.216331630502083e-28,1383.3333333333333,0.9523809523809523,0.014251781472684086,66.82539682539682,1.124788302479807e-26,True
11,21,HP:0002789,20,1,6,415,2.216331630502083e-28,1383.3333333333333,0.9523809523809523,0.014251781472684086,66.82539682539682,1.124788302479807e-26,True
9,24,HP:0000858,21,3,5,413,2.97507084370082e-28,578.2,0.875,0.011961722488038277,73.15,1.2078787625425329e-26,True
9,24,HP:0010981,21,3,5,413,2.97507084370082e-28,578.2,0.875,0.011961722488038277,73.15,1.2078787625425329e-26,True
5,26,HP:0009887,22,4,6,410,6.440528520541479e-28,375.8333333333333,0.8461538461538461,0.014423076923076924,58.666666666666664,2.1593710391633695e-26,True
9,24,HP:0008376,20,4,3,415,8.509836607540372e-28,691.6666666666666,0.8333333333333334,0.007177033492822967,116.11111111111111,2.1593710391633695e-26,True
9,24,HP:0010747,20,4,3,415,8.509836607540372e-28,691.6666666666666,0.8333333333333334,0.007177033492822967,116.11111111111111,2.1593710391633695e-26,True
9,24,HP:0011026,20,4,3,415,8.509836607540372e-28,691.6666666666666,0.8333333333333334,0.007177033492822967,116.11111111111111,2.1593710391633695e-26,True
9,24,HP:0025691,20,4,3,415,8.509836607540372e-28,691.6666666666666,0.8333333333333334,0.007177033492822967,116.11111111111111,2.1593710391633695e-26,True
9,24,HP:0030010,20,4,3,415,8.509836607540372e-28,691.6666666666666,0.8333333333333334,0.007177033492822967,116.11111111111111,2.1593710391633695e-26,True
9,24,HP:0000147,21,3,6,412,1.3295715505019438e-27,480.6666666666667,0.875,0.014354066985645933,60.95833333333333,2.8410844710725747e-26,True
9,24,HP:0010462,21,3,6,412,1.3295715505019438e-27,480.6666666666667,0.875,0.014354066985645933,60.95833333333333,2.8410844710725747e-26,True
9,24,HP:0010979,21,3,6,412,1.3295715505019438e-27,480.6666666666667,0.875,0.014354066985645933,60.95833333333333,2.8410844710725747e-26,True
5,26,HP:0005599,21,5,4,412,1.8381966223276942e-27,432.6,0.8076923076923077,0.009615384615384616,84.0,3.731539143325219e-26,True
11,21,HP:0004422,20,1,8,413,2.978357251847325e-27,1032.5,0.9523809523809523,0.019002375296912115,50.11904761904761,5.758157353571496e-26,True
9,24,HP:0005769,20,4,4,414,5.059497512120387e-27,517.5,0.8333333333333334,0.009569377990430622,87.08333333333334,8.88055336389189e-26,True
9,24,HP:0000138,21,3,7,411,5.28161462150051e-27,411.0,0.875,0.01674641148325359,52.25,8.88055336389189e-26,True
9,24,HP:0005562,21,3,7,411,5.28161462150051e-27,411.0,0.875,0.01674641148325359,52.25,8.88055336389189e-26,True
11,21,HP:0002876,18,3,2,419,5.4683210368792426e-27,1257.0,0.8571428571428571,0.004750593824228029,180.42857142857142,8.88055336389189e-26,True
9,24,HP:0001956,21,3,8,410,1.901353239355712e-26,358.75,0.875,0.019138755980861243,45.71875,2.859071908068219e-25,True
9,24,HP:0002155,21,3,8,410,1.901353239355712e-26,358.75,0.875,0.019138755980861243,45.71875,2.859071908068219e-25,True
9,24,HP:0002608,20,4,5,413,2.506705427153478e-26,413.0,0.8333333333333334,0.011961722488038277,69.66666666666667,3.392408011414373e-25,True
9,24,HP:0004225,20,4,5,413,2.506705427153478e-26,413.0,0.8333333333333334,0.011961722488038277,69.66666666666667,3.392408011414373e-25,True
9,24,HP:0008915,20,4,5,413,2.506705427153478e-26,413.0,0.8333333333333334,0.011961722488038277,69.66666666666667,3.392408011414373e-25,True
5,26,HP:0001022,18,8,0,416,3.426530408834764e-26,inf,0.6923076923076923,0.0,692307.6923076924,4.487649503183594e-25,True
11,21,HP:0001829,21,0,17,404,6.655633004245724e-26,inf,1.0,0.040380047505938245,24.76470588235294,8.188445453708376e-25,True
11,21,HP:0009136,21,0,17,404,6.655633004245724e-26,inf,1.0,0.040380047505938245,24.76470588235294,8.188445453708376e-25,True
9,24,HP:0002037,20,4,6,412,1.0763221156208376e-25,343.3333333333333,0.8333333333333334,0.014354066985645933,58.05555555555556,1.1810453484920544e-24,True
9,24,HP:0002230,20,4,6,412,1.0763221156208376e-25,343.3333333333333,0.8333333333333334,0.014354066985645933,58.05555555555556,1.1810453484920544e-24,True
9,24,HP:0008724,20,4,6,412,1.0763221156208376e-25,343.3333333333333,0.8333333333333334,0.014354066985645933,58.05555555555556,1.1810453484920544e-24,True
9,24,HP:0012384,20,4,6,412,1.0763221156208376e-25,343.3333333333333,0.8333333333333334,0.014354066985645933,58.05555555555556,1.1810453484920544e-24,True
10,23,HP:0003737,18,5,2,417,1.3710512859498854e-25,750.6,0.782608695652174,0.00477326968973747,163.95652173913044,1.4648600581464566e-24,True
