HPO_ID,hpo_name,target_count,bg_count,pct_target,pct_bg,p_value,odds_ratio,IC,depth,q_value
HP:0025329,Anti-glutamic acid decarboxylase antibody positivity,0,7,0.0,0.0014827367083245075,1.0,0.0,9.52943055414615,6,1.0
HP:0025330,Downgaze palsy,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,8,1.0
HP:0025337,Red eye,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,5,1.0
HP:0025341,Corneal keratic precipitates,0,3,0.0,0.0006354585892819318,1.0,0.0,10.751822975482598,7,1.0
HP:0025342,Central retinal artery occlusion,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,7,1.0
HP:0025343,Lupus anticoagulant,0,8,0.0,0.0016945562380851515,1.0,0.0,9.336785476203755,6,1.0
HP:0025347,Decreased circulating beta-2-microglobulin level,0,5,0.0,0.0010590976488032196,1.0,0.0,10.014857381316393,8,1.0
HP:0025349,Limbal edema,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,7,1.0
HP:0025352,Typically de novo,0,12,0.0,0.0025418343571277273,0.6160579257856896,0.0,8.751822975482598,3,1.0
HP:0025354,Abnormal cellular phenotype,0,5,0.0,0.0010590976488032196,1.0,0.0,10.014857381316393,2,1.0
HP:0025357,Erratic myoclonus,0,5,0.0,0.0010590976488032196,1.0,0.0,10.014857381316393,7,1.0
HP:0025361,Abnormal medullary pyramid morphology,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,8,1.0
HP:0025369,Thick growth plates,0,3,0.0,0.0006354585892819318,1.0,0.0,10.751822975482598,6,1.0
HP:0025372,Loud snoring,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,8,1.0
HP:0025373,Interictal EEG abnormality,0,14,0.0,0.002965473416649015,0.6269401310748868,0.0,8.52943055414615,7,1.0
HP:0025376,Hyperglutaminuria,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,9,1.0
HP:0025386,Bitemporal hollowing,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,6,1.0
HP:0025387,Pill-rolling tremor,0,8,0.0,0.0016945562380851515,1.0,0.0,9.336785476203755,8,1.0
HP:0025388,Thyroid nodule,0,3,0.0,0.0006354585892819318,1.0,0.0,10.751822975482598,5,1.0
HP:0025391,Crazy paving pattern,0,4,0.0,0.0008472781190425757,1.0,0.0,10.336785476203755,6,1.0
HP:0025392,Nodular pattern on pulmonary HRCT,0,3,0.0,0.0006354585892819318,1.0,0.0,10.751822975482598,6,1.0
HP:0025393,Reticulonodular pattern on pulmonary HRCT,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,6,1.0
HP:0025394,Cystic pattern on pulmonary HRCT,0,3,0.0,0.0006354585892819318,1.0,0.0,10.751822975482598,6,1.0
HP:0025395,Combined cystic and ground-glass pattern on pulmonary HRCT,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,6,1.0
HP:0025402,Square-wave jerks,0,3,0.0,0.0006354585892819318,1.0,0.0,10.751822975482598,7,1.0
HP:0025407,Rectourethral fistula,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,5,1.0
HP:0025408,Abnormal spleen morphology,0,4,0.0,0.0008472781190425757,1.0,0.0,10.336785476203755,5,1.0
HP:0025416,Vaginal stricture,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,8,1.0
HP:0025419,Pulmonary pneumatocele,0,4,0.0,0.0008472781190425757,1.0,0.0,10.336785476203755,6,1.0
HP:0025420,Diffuse alveolar hemorrhage,0,23,0.0,0.00487184918449481,0.257190547348717,0.0,7.813223520146742,6,1.0
HP:0025423,Abnormal larynx morphology,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,6,1.0
HP:0025426,Abnormal bronchus morphology,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,5,1.0
HP:0025427,Abnormal bronchus physiology,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,4,1.0
HP:0025429,Abnormal cry,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,3,1.0
HP:0025430,High-pitched cry,0,7,0.0,0.0014827367083245075,1.0,0.0,9.52943055414615,4,1.0
HP:0025431,Staccato cry,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,4,1.0
HP:0025433,Decreased lecithin cholesterol acyl transferase level,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,5,1.0
HP:0025434,Reduced circulating CH50 activity,0,5,0.0,0.0010590976488032196,1.0,0.0,10.014857381316393,7,1.0
HP:0025437,Macrozoospermia,0,3,0.0,0.0006354585892819318,1.0,0.0,10.751822975482598,9,1.0
HP:0025439,Pharyngitis,0,7,0.0,0.0014827367083245075,1.0,0.0,9.52943055414615,7,1.0
HP:0025441,Achilles tendon calcification,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,6,1.0
HP:0025451,Testicular adrenal rest tumor,0,8,0.0,0.0016945562380851515,1.0,0.0,9.336785476203755,7,1.0
HP:0025452,Pyoderma gangrenosum,0,11,0.0,0.0023300148273670833,0.6143600286910604,0.0,8.877353857566458,7,1.0
HP:0025475,Erythematous macule,0,4,0.0,0.0008472781190425757,1.0,0.0,10.336785476203755,7,1.0
HP:0025476,Testicular lipomatosis,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,7,1.0
HP:0025478,Atrial standstill,0,6,0.0,0.0012709171785638637,1.0,0.0,9.751822975482598,7,1.0
HP:0025479,Self-neglect,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,8,1.0
HP:0025480,Lipomyelomeningocele,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,8,1.0
HP:0025482,Positive perchlorate discharge test,0,6,0.0,0.0012709171785638637,1.0,0.0,9.751822975482598,5,1.0
HP:0025486,Fused labia majora,0,3,0.0,0.0006354585892819318,1.0,0.0,10.751822975482598,9,1.0
HP:0025487,Abnormal bladder morphology,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,6,1.0
HP:0025498,Aceruloplasminemia,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,5,1.0
HP:0025501,Class III obesity,0,11,0.0,0.0023300148273670833,0.6143600286910604,0.0,8.877353857566458,6,1.0
