module_id,category_group,value,N_module,N_category,overlap,fold_enrichment,p_value,novel_candidates,potential_misclassifications,FDR,significant
10,Annotation,Nucleotide metabolism,23,31,12,7.439,1.2033641006913703e-09,MT-CO1; MT-CO2; MT-CO3; MT-CYB; MT-TH; MT-TL1; MT-TS2; MT-TV; NDUFAF2; NGLY1; POLG,ABCC6; AMPD2; ATP6V1A; CTNS; DNAJC30; FDXR; GUCA1A; GUCY2D; HK1; IMPDH1; NADK2; NDUFA12; NMNAT1; PGK1; PRPS1; RD3; SDHB; TREX1; UCHL1,3.274869445452943e-08,True
1,Category,OA syndromic,56,95,31,2.5756,1.947464522509243e-09,ABHD12; ACBD5; AP5Z1; ATXN7; BRAT1; COQ2; COQ5; CYP2U1; DHX16; FBLN5; FLVCR1; GNB1; HK1; JAG1; LAMA1; LIG3; PANK2; PRPS1; SACS; SPG11; SPTLC1; TPP1; TTPA; YARS1; ZFYVE26,ANKRD17; ANTXR1; AP3B2; ATAD3A; ATG7; ATP6V1A; B3GALNT2; BOLA3; BRAF; BTD; CCDC88A; CDC42; CISD2; CLCN3; CRIPT; CYFIP2; DIAPH1; DNAJC19; DNAJC30; EIF2B4; FDX2; GATAD2B; GJA1; HESX1; IBA57; ISCA2; LETM1; MECR; MFF; MT-ATP6; MT-CO2; MT-ND3; MT-ND5; MT-ND6; MT-TH; MTO1; NADK2; NARS2; NBAS; NDUFA12; NDUFAF2; NDUFS2; NR2F1; OPA1; PARS2; PCCB; POLG; PPP1R21; PTCD3; PTPN23; PUF60; RAB3GAP1; RERE; RTN4IP1; SDHA; SDHB; SERAC1; SNX10; SOX2; SRD5A3; STAMBP; TMEM126A; TSFM; ZNHIT3,4.946559887173477e-08,True
9,Annotation,Cilium,24,77,17,4.066,3.2109037352276285e-09,ALMS1; CFAP418; NEUROD1; NPHP1; PMM2; SCAPER; WFS1,ADGRV1; AHI1; ALPK1; ARL13B; ARL3; ARMC9; BLOC1S6; CC2D2A; CCDC88A; CDH23; CEP104; CEP164; CEP290; CEP41; CEP78; CEP83; CFAP410; CLRN1; CSPP1; DTNBP1; DYNC2H1; DYNC2I2; IFT140; IFT172; INPP5E; IQCB1; KIAA0586; KIAA1549; KIF3B; LCA5; MAK; MKS1; MYO7A; OFD1; PCARE; PCDH15; PDE6D; POC1B; PTPN23; RAB28; RP1; RP1L1; RP2; RPGR; RPGRIP1; SNX10; TMEM138; TMEM216; TMEM218; TMEM231; TMEM67; TRAF3IP1; TTLL5; TUB; USH1C; USH1G; USH2A; WDR19; WHRN; ZNF423,7.64596451951079e-08,True
8,Category,EVR,24,12,8,12.2778,9.39626713185955e-09,ATAD3A; ATOH7; B3GALNT2; CAPN5; COL18A1; COL4A1; HMX1; LAMB2; LRP2; LRRC32; MIR204; PAX6; POMGNT1; POMT1; RAB3GAP1; TUBGCP6,CTNNA1; CTNNB1; CTNND1; IGFBP7,2.1058692807285228e-07,True
2,Category,Other syndromic,35,148,27,2.3039,4.379086151577315e-08,ATP6V1A; CLCN3; GJA1; LETM1; MKS1; PPP1R21; SNX10; SRD5A3,ABCC6; ABHD12; ACBD5; ACO2; AGXT; AIRE; ALMS1; ALPK1; AMACR; AP3D1; AP5Z1; ARL2BP; ATXN7; BRAT1; CDH3; CEP78; CHD7; CLCN2; CLN3; CLN5; CLN8; CNNM4; COL18A1; COL4A1; COL4A4; COL4A5; COQ2; CTNNB1; CTNS; CTSD; CWC27; CYP2U1; DHX16; DYNC2H1; DYNC2I2; EDNRB; EMC1; EXOSC2; FDXR; FLVCR1; GNB1; GTPBP2; HADHA; HGSNAT; HK1; HMX1; HPS3; HPS4; HSD17B10; IFT140; INPP5E; JAG1; KIF11; KIF3B; KLHL7; LAMA1; LAMB2; LAMP2; LIG3; LRP2; LRRC32; LRRC8C; LYST; MAB21L2; MCOLN1; MED12; MFRP; MFSD8; MITF; MMACHC; MSTO1; MT-TE; MT-TL1; MT-TP; MT-TS2; MT-TV; NDP; NEUROD1; NGLY1; OAT; OTX2; PANK2; PAX2; PDSS1; PGK1; PISD; PMM2; PNPLA6; POMGNT1; POMT1; PPT1; PRPS1; PYGM; RBP4; RIMS2; SACS; SCAPER; SGSH; SIX6; SLC19A2; SLC38A3; SLC6A6; SPG11; SPTLC1; STN1; STX3; SUMF1; TIMP3; TPP1; TRNT1; TTLL5; TTPA; TUB; TUBB4B; TUBGCP4; TUBGCP6; WDR19; WFS1; YARS1; ZFYVE26; ZNF423,9.269065687505316e-07,True
6,Annotation,Visual cycle and phototransduction (VCPh),25,30,11,6.4827,4.8818138136124744e-08,CACNA1F; CACNA2D4; CERKL; CLCC1; GPR179; GRM6; IDH3B; LRIT3; MCOLN1; NYX; PRCD; RIMS2; SLC24A1; TRPM1,ABCA4; AIPL1; GNAT2; GNB1; GUCA1A; LRAT; NR2E3; OPN1LW; OPN1MW; OPN1SW; PDE6C; PDE6G; PDE6H; RBP3; RBP4; RDH12; RGS9; RGS9BP; RPE65,9.789321384138698e-07,True
10,Annotation,Transmembrane transport,23,53,13,4.7137,1.1700929947847079e-07,DNM1L; MT-TH; MT-TL1; MT-TS2; MT-TV; NDUFAF2; NGLY1; OPA1; POLG; SDHA,ABCA4; ABCC6; BEST1; BLOC1S3; CACNA1F; CACNA2D4; CLCC1; CLCN2; CLCN3; CNGA1; CNGA3; CNGB3; CNNM4; CTNS; DNAJC19; FLVCR1; GJA1; KCNJ13; KCNV2; LETM1; LRP2; LRRC8C; MCOLN1; NDUFA12; OCA2; PEX1; PEX6; PEX7; PNPT1; SLC19A2; SLC19A3; SLC24A1; SLC24A5; SLC38A3; SLC38A8; SLC44A1; SLC45A2; SLC52A2; SLC6A6; TRPM1,2.2290271550648684e-06,True
6,Annotation,Synaptic signaling,25,33,11,5.8933,1.5738604408625183e-07,CERKL; CLCC1; CYP4V2; GNAT1; GRK1; IDH3B; MCOLN1; PDE6B; PRCD; RDH5; RHO; RLBP1; RP1; SAG,AFG3L2; AP3B2; ATP6V1A; BEST1; BLOC1S3; BLOC1S5; BRAF; CAPN5; CLCN3; COL4A1; COL4A5; CRIPT; CYFIP2; GNB1; KIF1A; MPZ; PPT1; RAB3GAP1; SLC6A6; SPG11; STX3; TULP1,2.855432514136283e-06,True
12,Multiple.phenotype.non.syndromic,Yes,16,61,11,4.9816,3.7388578425392775e-07,ATG7; IQCB1; LCA5; RD3; TUBB4B,ABCA4; ABHD12; ALMS1; ATF6; BEST1; C1QTNF5; CACNA1F; CDHR1; CEP164; CEP290; CERKL; CFAP418; CNGA3; CNGB3; CTNNA1; CYP4V2; EYS; GNAT1; GUCA1A; GUCY2D; IFT140; IFT172; IMPG1; IMPG2; INPP5E; MFSD8; MKS1; NPHP1; NR2E3; OPN1LW; OPN1MW; PDE6B; PDE6C; PROM1; PRPH2; RAX2; RCBTB1; RHO; RLBP1; RP1; RP1L1; RPGR; RPGRIP1; SAG; SCAPER; SDCCAG8; SLC24A1; UBAP1L; WDR19; ZNF408,6.4750219909430215e-06,True
16,Annotation,Cilium,10,77,9,5.1662,8.473845607190306e-07,ARSG,AHI1; ALPK1; ARL13B; ARL3; ARL6; ARMC9; BBIP1; BBS1; BBS10; BBS12; BBS2; BBS4; BBS5; BBS7; BBS9; BLOC1S6; CC2D2A; CCDC88A; CDH23; CEP104; CEP164; CEP290; CEP41; CEP83; CFAP410; CSPP1; DTNBP1; DYNC2H1; DYNC2I2; IFT140; IFT172; IFT27; IFT74; INPP5E; IQCB1; KIAA0586; KIAA1549; KIF3B; LCA5; LZTFL1; MAK; MKKS; MKS1; OFD1; PCARE; PDE6D; POC1B; PTPN23; RAB28; RP1; RP1L1; RP2; RPGR; RPGRIP1; SCLT1; SDCCAG8; SNX10; TMEM138; TMEM216; TMEM218; TMEM231; TMEM67; TRAF3IP1; TTC8; TTLL5; TUB; WDR19; ZNF423,1.4037109462345681e-05,True
10,Annotation,Mitochondria organisation,23,34,10,5.6522,1.0730326944341918e-06,MT-ATP6; MT-CO1; MT-CO2; MT-CO3; MT-CYB; MT-ND3; MT-ND4L; MT-TH; MT-TL1; MT-TS2; MT-TV; NGLY1; SDHA,AFG3L2; AP3B1; ATAD3A; CLN8; COQ5; COQ8B; DDHD2; HSD17B10; LETM1; LIG3; MFF; MFN2; MFSD8; MSTO1; NDUFA12; OPA3; PANK2; PISD; PNPT1; RTN4IP1; SLC25A46; SPG7; TIMM8A; TMEM126A,1.7034394024142795e-05,True
